Resultado,Perdió
Goles a Favor,0
Goles en Contra,6

Numero,Nombre,Goles,Asistencias,Tiros
4,Gutierrez,0,0,0
99,Haiek,0,0,0
5,De Paola Calcagno,0,0,0
444,Fattore,0,0,0
6,Covernton,0,0,0
