Resultado,Perdió
Goles a Favor,2
Goles en Contra,3

Numero,Nombre,Goles,Asistencias,Tiros
,MAZAFERRO ADRIANO,0,0,0
1,GARCIA FABCISCO,0,0,0
6,MARINELLI EDUARDO,0,0,0
77,CLARET AGUSTIN,0,0,0
2,BOIX CRITIAN,1,0,0
9,OCAMPO NICOLAS,0,0,0
23,BOIX. CONTU,0,0,0
7,BOIX BAUTI,0,0,0
,SHENDERA IVAN,0,0,0
,VAL FRAN,0,0,0
,BELLI GUIDO,0,0,0
93,LOMBRAÑA FEDERICO,0,0,0
,LUTTERAL LIAM,0,0,0
