Resultado,Empató
Goles a Favor,1
Goles en Contra,1

Numero,Nombre,Goles,Asistencias,Tiros
9,BARRA FELIPE,0,0,4
,GRABENHEIMER NICOLAS,0,0,0
,BUSTOS SEBASTIAN,0,0,0
