Resultado,Ganó
Goles a Favor,3
Goles en Contra,2

Numero,Nombre,Goles,Asistencias,Tiros
17,SAVCHUK ROMAN,2,0,0
10,SAN MILLAN LIONEL,0,0,0
99,ESEISA MICHEL,1,0,0
18,CLEMENTINO RENZO,0,0,0
,LA GRECA NICOLAS,0,0,0
,HERTNER GIANNI,0,0,0
,ROBAINA LUCAS,0,0,0
,DEL GUESSO TOMAS,0,0,0
,CRISTALDO ARNALDO,0,0,0
,CONTI SOFIA,0,0,0
,TUBIO DAMIAN,0,0,0
,CHEVALLIER JOSE,0,0,0
,LOPEZ SILVA FERMÍN,0,0,0
,MONTES LUCAS,0,0,0
,NORMAN UDDSTROM CHAD,0,0,0
,BARVINOK SERGEI,0,0,0
